iter	Passed	Remaining
0	3	336
1	7	355
2	10	351
3	12	304
4	14	281
5	16	265
6	19	253
7	20	235
8	21	214
9	21	197
10	22	184
11	23	171
12	23	160
13	24	150
14	25	142
15	25	134
16	26	128
17	26	122
18	27	116
19	28	112
20	28	108
21	29	104
22	29	100
23	30	96
24	31	93
25	31	90
26	32	87
27	32	84
28	33	81
29	33	79
30	34	77
31	35	74
32	35	72
33	36	70
34	36	68
35	37	66
36	38	64
37	38	63
38	39	61
39	39	59
40	40	58
41	40	56
42	41	54
43	42	53
44	42	52
45	43	50
46	43	49
47	44	47
48	44	46
49	45	45
50	46	44
51	46	43
52	47	41
53	48	41
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	56	26
68	57	25
69	57	24
70	58	23
71	58	22
72	59	22
73	60	21
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	63	15
80	64	15
81	64	14
82	65	13
83	66	12
84	66	11
85	67	10
86	67	10
87	68	9
88	69	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	73	2
97	74	1
98	74	0
99	75	0
